UniqueID,Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (degC),Program Used 0/1,Mass CO2 Used (lbs),Extraction Efficiency THC,Extraction Efficiency CBD,Extraction Efficiency CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent % (as is) THC,Spent % (as is) CBD,Spent % (as is) CBN,Decarb % (as is) THC,Decarb % (as is) CBD,Decarb % (as is) CBN
95,MB,,776,3,120,1,5000,65,1,68,0.9643,0.9745,0.9571,1618,1373,0.1514,0.13,0.197,0.007,3.642,7.716,0.163
96,HB,,784,1,120,1,5000,65,1,72,0.8714,1,0.8491,1673,1374,0.1787,2.019,0,0.016,15.702,0.037,0.106
97,HB,,784,3,120,1,5000,65,1,72.5,0.9658,1,1,1821.5,1470.5,0.1927,0.537,0,0,15.702,0.037,0.106
99,HB,,784,6,120,2,5000,65,1,63,0.9095,1,1,1590.5,1292,0.1877,1.421,0,0,15.702,0.037,0.106
101,TI,1,804,1,130,1,5000,65,1,63.5,0.9647,0.9787,0,1631,1335.5,0.1812,0.014,0.236,0,0.397,11.092,0
102,TI,1,804,2,140,2,5000,65,1,81,0.9547,0.9828,0,1691,1376.5,0.186,0.018,0.191,0,0.397,11.092,0
103,TI,1,804,3,140,1,5000,65,1,72.5,0.9547,0.9788,0,1699.5,1376.5,0.1901,0.018,0.235,0,0.397,11.092,0
105,TI,1,805,1,140,1,5000,65,1,68,0.89,0.9394,0,1580,1323,0.1627,0.043,0.53,0,0.391,8.741,0
106,TI,1,805,2,140,1,5000,65,1,51.5,0.9463,0.9628,0,1676,1370,0.1826,0.021,0.325,0,0.391,8.741,0
108,TI,1,805,4,140,1,5000,65,1,66.5,0.9488,0.9657,0,1321.5,1036.5,0.2157,0.02,0.3,0,0.391,8.741,0
109,TI,1,806,2,120,2,5000,65,1,59.5,0.9752,0.9804,1,1610.5,1337,0.1698,0.01,0.227,0,0.404,11.6,0.01
110,TI,1,806,3,120,1,5000,65,1,71.5,0.9752,0.9796,1,1630,1334.5,0.1813,0.01,0.237,0,0.404,11.6,0.01
111,TI,1,815,3,120,1,5000,65,1,70,0.9704,0.9787,1,1402,1155,0.1762,0.011,0.238,0,0.371,11.157,0.007
112,TI,1,815,4,120,2,5000,65,1,51.5,0.8868,0.9718,1,1122.5,930,0.1715,0.042,0.315,0,0.371,11.157,0.007
113,NL,0,466,1,120,1,5000,65,1,56,0.7878,1,0.6192,1656.5,1433,0.1349,2.223,0,0.091,10.474,0.0033,0.239
114,NL,0,466,2,120,1,5000,65,1,39.5,0.9601,1,0.8996,1677,1242.5,0.2591,0.418,0,0.024,10.474,0.0033,0.239
115,NL,0,466,3,120,2,5000,65,1,75.5,0.9842,1,0.9874,1553,1271,0.1816,0.166,0,0.003,10.474,0.0033,0.239
117,NL,0,466,4,60,1,5000,65,1,59.5,0.9941,1,0.9833,1742.5,1387,0.204,0.062,0,0.004,10.474,0.0033,0.239
118,NL,0,467,1,165,1,5000,65,1,70.5,0.763,1,0.5233,1508,1285.5,0.1475,2.908,0,0.092,12.27,0.049,0.193
121,NL,0,467,3,140,1,5000,65,1,70.5,0.9752,1,0.9378,1534,1234,0.1956,0.304,0,0.012,12.27,0.049,0.193
123,NL,0,467,5,125,1,5000,65,1,72.5,0.9779,1,0.9378,1515.5,1251.5,0.1742,0.271,0,0.012,12.27,0.049,0.193
124,NL ,0,771,1,135,1,5000,65,1,70.5,0.9501,1,0.897,1461.5,1209.5,0.1724,0.592,0,0.017,11.864,0.0037,0.165
125,NL,0,771,2,135,2,5000,65,1,74,0.9268,1,0.8606,1459.5,1180,0.1915,0.869,0,0.023,11.864,0.0037,0.165
126,NL,0,771,3,150,1,5000,65,1,74.5,0.9463,1,0.8667,1508.5,1269.5,0.1584,0.637,0,0.022,11.864,0.0037,0.165
127,NL,0,771,4,125,2,5000,65,1,81.5,0.9685,1,0.9394,1510.5,1239,0.1797,0.374,0,0.01,11.864,0.0037,0.165
128,NL,0,771,5,135,1,5000,65,1,76,0.97,1,0.9394,561.5,368.5,0.3437,0.356,0,0.01,11.864,0.0037,0.165
129,NL,0,772,1,125,1,5000,65,1,75,0.9559,1,0.8623,1510,1284.5,0.1493,0.545,0,0.0303,12.351,0.005,0.22
130,NL,0,772,2,265,2,5000,65,1,75,0.8562,1,1,1507,1270,0.1573,1.776,0,0,12.351,0.005,0.22
131,NL,0,772,3,135,1,5000,65,1,94.5,0.9766,1,0.9409,1508,1243.5,0.1754,0.289,0,0.013,12.351,0.005,0.22
132,NL,0,772,4,239,2,5000,65,1,75,0.8491,1,0.8182,1513,1286.5,0.1497,1.864,0,0.04,12.351,0.005,0.22
133,NL,0,772,5,135,1,5000,65,1,76.5,0.9769,1,0.9727,1398.5,1131.5,0.1909,0.285,0,0.006,12.351,0.005,0.22
134,NL,0,772,6,145,2,5000,65,1,68.5,0.9063,1,0.9091,1328.5,1111.5,0.1633,1.157,0,0.02,12.351,0.005,0.22
135,NL,0,773,1,220,1,5000,65,1,70,0.8361,1,-14.4783,1390.5,1152.5,0.1712,1.9003,0,0.0356,11.596,0.003,0.0023
136,NL,0,773,2,120,2,5000,65,1,70,0.8189,1,-14.5217,1501,1279,0.1479,2.1005,0,0.0357,11.596,0.003,0.0023
139,SB,0,476,1,150,1,5000,65,1,75.5,0.8655,0,0.747,1362,1100,0.1924,1.7916,0.0043,0.0711,13.321,0,0.281
140,SB,0,476,2,150,2,5000,65,1,85.5,0.9098,0,0.7993,1476,1198,0.1883,1.2017,0.0035,0.0564,13.321,0,0.281
141,SB,0,476,3,195,1,5000,65,1,78.5,0.9534,0,0.889,1363.5,1103.5,0.1907,0.6206,0,0.0312,13.321,0,0.281
142,SB,0,476,4,180,2,5000,65,1,83,0.8835,0,0.7552,1579.5,1281,0.189,1.5519,0,0.0688,13.321,0,0.281
143,SB,0,476,5,165,1,5000,65,1,67,0.8744,0,0.7324,1455.5,1219,0.1625,1.6727,0.0039,0.0752,13.321,0,0.281
144,SB,0,476,6,121,2,5000,65,1,65,0.8605,0,0.7302,1345.5,1126,0.1631,1.8589,0.0039,0.0758,13.321,0,0.281
145,TI,1,857,3,120,1,5000,65,1,66.5,0.9885,0.9747,1,1330.5,1101,0.1725,0.0059,0.2697,0,0.515,10.642,0.013
146,TI,1,857,4,180,2,5000,65,1,55.5,1,0.9839,1,1512,1244,0.1772,0,0.1715,0,0.515,10.642,0.013
148,TI,1,857(2),1,105,1,5000,65,1,65,0.9709,0.9702,1,1583.5,1325,0.1632,0.015,0.3168,0,0.515,10.642,0.013
149,TI,1,857(2),2,120,2,5000,65,1,55,0.986,0.9821,1,1618,1360,0.1595,0.0072,0.191,0,0.515,10.642,0.013
150,TI,1,857(2),3,120,1,5000,65,1,56,0.9674,0.9788,1,1562.5,1321.5,0.1542,0.0168,0.226,0,0.515,10.642,0.013
151,TI,1,858,1,130,1,5000,65,1,79.5,0,0.9562,1,1502,1239,0.1751,0.0291,0.4837,0,0,11.048,0.014
152,TI,1,858,2,105,2,5000,65,1,60,0,0.9577,1,1505,1270.5,0.1558,0.0321,0.4672,0,0,11.048,0.014
153,TI,1,858,3,105,1,5000,65,1,60.5,0,0.9695,1,1516.5,1291.5,0.1484,0.0183,0.3365,0,0,11.048,0.014
154,TI,1,858,4,140,2,5000,65,1,57.5,0,0.9522,1,1503.5,1245.5,0.1716,0.0321,0.5285,0,0,11.048,0.014
155,TI,1,858,5,110,1,5000,65,1,57.5,0,0.9546,1,1503,1275,0.1517,0.0358,0.5016,0,0,11.048,0.014
156,TI,1,858,6,140,2,5000,65,1,40.5,0,0.9644,1,564,479,0.1507,0.0259,0.393,0,0,11.048,0.014
157,TI,1,860,1,110,1,5000,65,1,57,0.8512,0.9391,0,1624.5,1349,0.1696,0.075,0.6784,0,0.504,11.131,0
158,TI,1,860,4,110,2,5000,65,1,50,0.8788,0.9363,0,1535,1293,0.1577,0.0611,0.7092,0,0.504,11.131,0
160,SB,0,543,1,180,1,5000,65,1,81,0.8306,1,-0.0028,1562,1307,0.1633,2.31,0,0.1424,13.64,0.037,0.142
161,SB,0,543,4,150,2,5000,65,1,70,0.8586,1,0.1838,1494,1281.5,0.1422,1.929,0,0.1159,13.64,0.037,0.142
163,SB,0,543,6,105,1,5000,65,1,65,0.8287,1,-0.0577,950,826,0.1305,2.337,0,0.1502,13.64,0.037,0.142
164,N2,1,473,1,90,1,5000,65,1,52,0.9677,0.8889,0.4462,1662,1367,0.1775,0.0122,1.2766,0.0144,0.378,11.486,0.026
165,N2,1,473,2,120,2,5000,65,1,52,0.8571,0.9295,0.4615,1662,1351.5,0.1868,0.054,0.81,0.014,0.378,11.486,0.026
168,BW,1,891,1,150,1,5000,65,1,105.5,0.864,0.9387,0.7741,1780,1355.5,0.2385,0.9067,0.656,0.0061,6.666,10.71,0.027
169,BW,1,891,3,130,1,5000,65,1,69,0.8355,0.9366,0.737,1680,1304,0.2238,1.0966,0.6786,0.0071,6.666,10.71,0.027
170,BW,1,891,4,130,1,5000,65,1,60,0.7564,0.8917,0.5852,1839,1456,0.2083,1.6236,1.1599,0.0112,6.666,10.71,0.027
171,BW,1,891,6,110,1,5000,65,1,55,0.7239,0.8666,1,1684,1351.5,0.1974,1.8408,1.4285,0,6.666,10.71,0.027
173,BW,1,891,8,110,1,5000,65,1,55,0.84,0.9369,0.7333,1665,1289.5,0.2255,1.0664,0.6762,0.0072,6.666,10.71,0.027
174,SK ,0,897,1,130,2,5000,65,1,65,0.8916,1,0.8347,1640.5,1324,0.1929,1.3556,0,0.0195,12.504,0.0035,0.118
175,SK ,0,897,2,130,1,5000,65,1,75,0.8922,1,0.8347,1630.5,1323,0.1886,1.3484,0,0.0195,12.504,0.0035,0.118
177,N2,1,472,1,130,1,5000,65,1,56.5,0.8707,0.9327,0.6258,1597,1325.5,0.17,0.0476,0.6172,0.0116,0.368,9.172,0.031
178,N2,1,472,2,140,2,5000,65,1,50,0.8457,0.93,0.5355,1596,1335,0.1635,0.0568,0.6416,0.0144,0.368,9.172,0.031
179,N2,1,472,3,150,2,5000,65,1,55,0.8313,0.91,0.4968,1665,1409.5,0.1535,0.0621,0.8254,0.0156,0.368,9.172,0.031
180,N2 ,1,472,4,120,2,5000,65,1,55,0.8902,0.9451,0.5935,1641.5,1378,0.1605,0.0404,0.5039,0.0126,0.368,9.172,0.031
181,N2,1,472,5,150,1,5000,65,1,60,0.7918,0.8901,0.4935,1521.5,1317,0.1344,0.0766,1.0082,0.0157,0.368,9.172,0.031
182,BW,1,900,1,110,1,5000,65,1,75,0.8514,0.9435,-1.2308,1761,1372.5,0.2206,0.9704,0.6055,0.0087,6.529,10.708,0.0039
183,BW,1,900,7,250,1,5000,65,1,83,0.9242,0.9637,0.1026,1777,1394.5,0.2153,0.495,0.3887,0.0035,6.529,10.708,0.0039
184,HB,0,854,1,185,1,4300,65,1,75,0.7932,0.7833,0.7276,1501.5,1335,0.1109,2.1458,0.0078,0.1114,10.376,0.036,0.409
185,HB,0,854,4,210,2,4300,65,1,83.5,0.8006,1,0.7259,1503.5,1308,0.13,2.0686,0,0.1121,10.376,0.036,0.409
187,HB,0,854,7,180,1,5000,65,1,90,0.9165,1,0.8753,1387,1157,0.1658,0.8664,0,0.051,10.376,0.036,0.409
189,BW,1,911,1,130,1,5000,65,1,65,0.9392,0.9768,1,1540,1221.5,0.2068,0.3749,0.2264,0,6.165,9.771,0.032
190,BW,1,911,4,105,1,5000,65,1,60,0.9714,0.9865,1,1481.5,1170,0.2103,0.1766,0.1323,0,6.165,9.771,0.032
191,BW,1,911,5,130,2,5000,65,1,59,0.9616,0.9796,1,1331,1048,0.2126,0.2367,0.1996,0,6.165,9.771,0.032
192,BW,1,911,6,120,1,5000,65,1,55,0.9187,0.9643,1,1518,1189,0.2167,0.5014,0.3486,0,6.165,9.771,0.032
193,BW,1,911,9,95,1,5000,65,1,55,0.9569,0.9758,0.6563,1638,1302,0.2051,0.2655,0.2366,0.011,6.165,9.771,0.032
194,BW,1,911,10,100,2,5000,65,1,55,0.9558,0.9763,0.8938,1622,1285.5,0.2075,0.2724,0.2317,0.0034,6.165,9.771,0.032
195,BW,1,911,11,100,1,5000,65,1,50.5,0.9746,0.9821,1,1222.5,950.5,0.2225,0.1566,0.1746,0,6.165,9.771,0.032
196,BW,1,920,1,90,1,5000,65,1,55,0.9515,0.9735,0.7862,1487,1171.5,0.2122,0.2668,0.2468,0.0062,5.497,9.324,0.029
197,BW,1,920,2,125,2,5000,65,1,55,0.9795,0.9855,0.7897,1473,1133.5,0.2305,0.1125,0.1353,0.0061,5.497,9.324,0.029
198,BW,1,920,3,230,1,5000,65,1,55,0.9761,0.9912,0.7862,1549.5,1180,0.2385,0.1316,0.0825,0.0062,5.497,9.324,0.029
199,BW,1,920,4,90,2,5000,65,1,55,0.9676,0.9816,0.8069,1567.5,1232,0.214,0.178,0.172,0.0056,5.497,9.324,0.029
200,BW,1,920,5,100,1,5000,65,1,55,0.9368,0.9683,0.8724,1474,1152,0.2185,0.3475,0.296,0.0037,5.497,9.324,0.029
201,BW,1,920,6,120,2,5000,65,1,55,0.9846,0.9889,0.7621,1570.5,1209.5,0.2299,0.0845,0.1036,0.0069,5.497,9.324,0.029
202,BW,1,920,7,140,1,5000,65,1,55,0.9891,0.9932,0.8034,1558.5,1199.5,0.2303,0.0597,0.0636,0.0057,5.497,9.324,0.029
203,SK ,0,899,1,140,1,5000,65,1,80.5,0.9813,1,0.9538,1557.5,1371,0.1197,0.1809,0,0.0043,9.6578,0.023,0.093
204,SK ,0,899,2,140,2,5000,65,1,72,0.9833,1,0.9419,1554.5,1317.5,0.1525,0.1615,0,0.0054,9.6578,0.023,0.093
205,SK ,0,899,3,160,1,5000,65,1,65,0.9863,1,0.9333,1555,1321,0.1505,0.1324,0,0.0062,9.6578,0.023,0.093
206,SK ,0,899,5,140,1,5000,65,1,88,0.9653,1,0.9505,1572,1359,0.1355,0.3351,0,0.0046,9.6578,0.023,0.093
207,SK ,0,899,6,140,2,5000,65,1,81,0.9864,1,0.9548,1348.5,1149,0.1479,0.1314,0,0.0042,9.6578,0.023,0.093
208,NL,0,903,1,145,1,5000,65,1,82,0.9788,1,0.9466,1358.6,1155,0.1499,0.1993,0,0.0135,9.421,0.025,0.253
209,NL,0,903,2,180,2,5000,65,1,69,0.992,1,0.9688,1338,1146,0.1435,0.075,0,0.0079,9.421,0.025,0.253
210,NL,0,903,5,110,1,5000,65,1,65,0.9907,1,0.9783,1278,1104,0.1362,0.0874,0,0.0055,9.421,0.025,0.253
211,NL,0,903,6,110,2,5000,65,1,63.5,0.9829,0.88,0.9557,1168,1003.5,0.1408,0.1609,0.003,0.0112,9.421,0.025,0.253
212,NL,0,903,7,110,1,5000,65,1,60,0.9934,1,0.985,1155.5,992,0.1415,0.0623,0,0.0038,9.421,0.025,0.253
213,HB,0,931,1,120,1,5000,65,0,55.5,0.9652,1,0.6409,1600.5,1380.5,0.1375,0.2933,0,0.0079,8.419,0.085,0.022
214,HB,0,931,2,110,2,5000,65,0,57,0.9548,1,1,1516,1299,0.1431,0.3809,0,0,8.419,0.085,0.022
214,HB,0,931,3,110,1,5000,65,1,54.5,0.9516,1,0.5773,1414,1257.5,0.1107,0.4074,0,0.0093,8.419,0.085,0.022
215,HB,0,931,4,105,2,5000,65,1,57,0.9652,1,0.6409,1518.5,1320,0.1307,0.2933,0,0.0079,8.419,0.085,0.022
216,HB,0,931,5,115,1,5000,65,1,57,0.9716,1,0.7,1582.5,1367,0.1362,0.2391,0,0.0066,8.419,0.085,0.022
217,HB,0,931,6,130,2,5000,65,1,57,0.9616,1,0.6045,1574,1370.5,0.1293,0.3233,0,0.0087,8.419,0.085,0.022
218,SB,0,545,1,150,1,5000,65,1,70,0.922,1,0.4036,1452.5,1268,0.127,0.9015,0,0.0835,11.56,0.01,0.14
220,SB,0,545,4,160,2,5000,65,1,80,0.8522,1,-0.14,1593,1284,0.194,1.7081,0,0.1596,11.56,0.01,0.14
221,NN,1,981,1,90,1,5000,65,1,52.5,0.9588,0.9734,1,1765,1544,0.1252,0.0145,0.1938,0,0.352,7.287,0.01
222,NN,1,981,2,100,2,5000,65,1,57.5,0.9523,0.967,1,1717.5,1601.5,0.0675,0.0168,0.2406,0,0.352,7.287,0.01
223,NN,1,981,3,95,1,5000,65,2,54,0.9926,0.9885,1,1655,1473.5,0.1097,0.0026,0.084,0,0.352,7.287,0.01
224,NN,1,981,4,100,2,5000,65,1,55.5,0.9926,0.9775,1,1652.5,1490.5,0.098,0.0026,0.164,0,0.352,7.287,0.01
225,NN,1,981,5,130,1,5000,65,1,53.5,0.9727,0.9871,1,1736,1557,0.1031,0.0096,0.0939,0,0.352,7.287,0.01
226,NN,1,981,6,90,1,5000,65,1,50,0.9713,0.9778,1,1425.5,1277.5,0.1038,0.0101,0.162,0,0.352,7.287,0.01
226,NN,1,981,7,90,2,5000,65,1,50,0.919,0.9436,1,1374.5,1233.5,0.1026,0.0285,0.4109,0,0.352,7.287,0.01
227,NN,1,982,1,100,1,5000,65,1,58.5,0.9697,0.9777,1,1545,1388.5,0.1013,0.0091,0.1413,0,0.3,6.339,0.0012
228,NN,1,982,2,85,1,5000,65,1,50,0.9893,0.9862,1,1711.5,1473.5,0.1391,0.0032,0.0873,0,0.3,6.339,0.0012
230,NN,1,982,4,90,1,5000,65,1,50,0.946,0.9686,1,1860,1629.5,0.1239,0.0162,0.1988,0,0.3,6.339,0.0012
231,NN,1,982,5,85,1,5000,65,1,50,0.9167,0.9508,-1.9167,1722.5,1553,0.0984,0.025,0.3119,0.0035,0.3,6.339,0.0012
232,NN,1,982,6,110,2,5000,65,1,53.5,0.9457,0.9644,-1.4167,1726.5,1583.5,0.0828,0.0163,0.2258,0.0029,0.3,6.339,0.0012
