,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,31/08/2018,NL,,466,3,120,2,5000,65,1,75.5,34.3,0.286,1,,0.464154886,1473.199477,20.34124801,98%,100%,99%,1553,1271,18.20%,,0.166,0,0.003,0.166,-,0.003,,10.474,0.0033,0.239,10.474,0.0033,0.239
117,31/08/2018,NL,,466,4,60,1,5000,65,1,59.5,27,0.451,1,,0.326010516,1034.73762,14.28717216,99%,100%,98%,1742.5,1387,20.40%,,0.062,0,0.004,0.062,-,0.004,,10.474,0.0033,0.239,10.474,0.0033,0.239
118,06/09/2018,NL,,467,1,165,1,5000,65,1,70.5,32,0.194,1,,0.381015999,95.40951659,24.22314152,76%,100%,52%,1508,1285.5,14.80%,,2.908,0,0.092,2.908,-,0.092,,12.27,0.049,0.193,12.27,0.049,0.193
121,06/09/2018,NL,,467,3,140,1,5000,65,1,70.5,32,0.229,1,,0.374558101,93.79240614,23.8125798,98%,100%,94%,1534,1234,19.60%,,0.304,0,0.012,0.304,-,0.012,,12.27,0.049,0.193,12.27,0.049,0.193
123,07/09/2018,NL,,467,5,125,1,5000,65,1,72.5,33,0.264,1,,0.389885876,97.63060619,24.78704509,98%,100%,94%,1515.5,1251.5,17.40%,,0.271,0,0.012,0.271,-,0.012,,12.27,0.049,0.193,12.27,0.049,0.193
124,11/09/2018,NL ,,771,1,135,1,5000,65,1,70.5,32,0.237,1,,0.406592309,1303.732744,29.23521911,95%,100%,90%,1461.5,1209.5,17.20%,,0.592,0,0.017,0.592,-,0.017,,11.864,0.0037,0.165,11.864,0.0037,0.165
125,11/09/2018,NL,,771,2,135,2,5000,65,1,74,33.6,0.249,1,,0.42736257,1370.332306,30.72866382,93%,100%,86%,1459.5,1180,19.20%,,0.869,0,0.023,0.869,-,0.023,,11.864,0.0037,0.165,11.864,0.0037,0.165
126,12/09/2018,NL,,771,3,150,1,5000,65,1,74.5,33.9,0.226,1,,0.416274512,1334.778597,29.93139884,95%,100%,87%,1508.5,1269.5,15.80%,,0.637,0,0.022,0.637,-,0.022,,11.864,0.0037,0.165,11.864,0.0037,0.165
127,12/09/2018,NL,,771,4,125,2,5000,65,1,81.5,37,0.296,1,,0.454784591,1458.260644,32.7003902,97%,100%,94%,1510.5,1239,18.00%,,0.374,0,0.01,0.374,-,0.01,,11.864,0.0037,0.165,11.864,0.0037,0.165
128,12/09/2018,NL,,771,5,135,1,5000,65,1,76,34.5,0.256,1,,1.140860894,3658.155038,82.03135541,97%,100%,94%,561.5,368.5,34.40%,,0.356,0,0.01,0.356,-,0.01,,11.864,0.0037,0.165,11.864,0.0037,0.165
129,17/09/2019,NL,,772,1,125,1,5000,65,1,75,34.1,0.273,1,,0.402144556,993.3774834,22.57676099,96%,100%,86%,1510,1284.5,14.90%,,0.545,0,0.0303,0.545,-,0.0303,,12.351,0.005,0.22,12.351,0.005,0.22
130,17/09/2018,NL,,772,2,265,2,5000,65,1,75,34.1,0.129,1,,0.40294511,995.35501,22.62170477,86%,100%,100%,1507,1270,15.70%,,1.776,0,0,1.776,-,-,,12.351,0.005,0.22,12.351,0.005,0.22
131,17/09/2018,NL,,772,3,135,1,5000,65,1,94.5,43,0.318,1,,0.50737416,1253.31565,28.48444659,98%,100%,94%,1508,1243.5,17.50%,,0.289,0,0.013,0.289,-,0.013,,12.351,0.005,0.22,12.351,0.005,0.22
132,18/09/2018,NL,,772,4,239,2,5000,65,1,75,34.1,0.143,1,,0.401347178,991.4077991,22.53199543,85%,100%,82%,1513,1286.5,15.00%,,1.864,0,0.04,1.864,-,0.04,,12.351,0.005,0.22,12.351,0.005,0.22
133,18/09/2018,NL,,772,5,135,1,5000,65,1,76.5,34.8,0.258,1,,0.442890987,1094.029317,24.86430266,98%,100%,97%,1398.5,1131.5,19.10%,,0.285,0,0.006,0.285,-,0.006,,12.351,0.005,0.22,12.351,0.005,0.22
134,18/09/2018,NL,,772,6,145,2,5000,65,1,68.5,31.1,0.215,1,,0.417471556,1031.238239,23.4372327,91%,100%,91%,1328.5,1111.5,16.30%,,1.157,0,0.02,1.157,-,0.02,,12.351,0.005,0.22,12.351,0.005,0.22
135,20/09/2018,NL,,773,1,220,1,5000,65,1,70,31.8,0.145,1,,0.434129042,1678.053458,2188.76538,84%,100%,-1448%,1390.5,1152.5,17.10%,,1.9003,0,0.0356,1.9003,-,0.0356,,11.596,0.003,0.0023,11.596,0.003,0.0023
136,20/09/2018,NL,,773,2,120,2,5000,65,1,70,31.8,0.265,1,,0.402169509,1554.519209,2027.633751,82%,100%,-1452%,1501,1279,14.80%,,2.1005,0,0.0357,2.1005,-,0.0357,,11.596,0.003,0.0023,11.596,0.003,0.0023
139,24/09/2018,SB,,476,1,150,1,5000,65,1,75.5,34.3,0.229,1,,0.416133822,,19.72711263,87%,#DIV/0!,75%,1362,1100,19.20%,,1.7916,0.0043,0.0711,1.7916,0.0043,0.0711,,13.321,0,0.281,13.321,-,0.281
140,24/09/2018,SB,,476,2,150,2,5000,65,1,85.5,38.9,0.259,1,,0.434853459,,20.61452999,91%,#DIV/0!,80%,1476,1198,18.80%,,1.2017,0.0035,0.0564,1.2017,0.0035,0.0564,,13.321,0,0.281,13.321,-,0.281
141,25/09/2018,SB,,476,3,195,1,5000,65,1,78.5,35.7,0.183,1,,0.432192958,,20.48840709,95%,#DIV/0!,89%,1363.5,1103.5,19.10%,,0.6206,0,0.0312,0.6206,-,0.0312,,13.321,0,0.281,13.321,-,0.281
142,25/09/2018,SB,,476,4,180,2,5000,65,1,83,37.7,0.21,1,,0.394476952,,18.70045365,88%,#DIV/0!,76%,1579.5,1281,18.90%,,1.5519,0,0.0688,1.5519,-,0.0688,,13.321,0,0.281,13.321,-,0.281
143,26/09/2018,SB,,476,5,165,1,5000,65,1,67,30.5,0.185,1,,0.34556183,,16.38159833,87%,#DIV/0!,73%,1455.5,1219,16.20%,,1.6727,0.0039,0.0752,1.6727,0.0039,0.0752,,13.321,0,0.281,13.321,-,0.281
144,26/09/2018,SB,,476,6,121,2,5000,65,1,65,29.5,0.244,1,,0.362654296,,17.19187856,86%,#DIV/0!,73%,1345.5,1126,16.30%,,1.8589,0.0039,0.0758,1.8589,0.0039,0.0758,,13.321,0,0.281,13.321,-,0.281
145,27/09/2018,TI,1,857,3,120,1,5000,65,1,66.5,30.2,0.252,1,,9.705089334,0.469659933,384.4708467,99%,97%,100%,1330.5,1101,17.20%,,0.0059,0.2697,0,0.0059,0.2697,-,,0.515,10.642,0.013,0.515,10.642,0.013
146,27/09/2018,TI,1,857,4,180,2,5000,65,1,55.5,25.2,0.14,,,7.127446448,0.344919651,282.3565324,100%,98%,100%,1512,1244,17.70%,,0,0.1715,0,-,0.1715,-,,0.515,10.642,0.013,0.515,10.642,0.013
148,27/09/2018,TI,1,857(2),1,105,1,5000,65,1,65,29.5,0.281,,,7.970545768,0.38571989,315.7562362,97%,97%,100%,1583.5,1325,16.30%,,0.015,0.3168,0,0.015,0.3168,-,,0.515,10.642,0.013,0.515,10.642,0.013
149,27/09/2018,TI,1,857(2),2,120,2,5000,65,1,55,25,0.208,,,6.600501638,0.319419126,261.481411,99%,98%,100%,1618,1360,15.90%,,0.0072,0.191,0,0.0072,0.191,-,,0.515,10.642,0.013,0.515,10.642,0.013
150,27/09/2018,TI,1,857(2),3,120,1,5000,65,1,56,,,,,6.959223301,0.336778801,275.6923077,97%,98%,100%,1562.5,1321.5,15.40%,,0.0168,0.226,0,0.0168,0.226,-,,0.515,10.642,0.013,0.515,10.642,0.013
151,02/10/2018,TI,1,858,1,130,1,5000,65,1,79.5,,,,,,0.479086056,378.0673388,#DIV/0!,96%,100%,1502,1239,17.50%,,0.0291,0.4837,0,0.0291,0.4837,-,,0,11.048,0.014,-,11.048,0.014
152,03/10/2018,TI,1,858,2,105,2,5000,65,1,60,,,,,,0.360853635,284.7650688,#DIV/0!,96%,100%,1505,1270.5,15.60%,,0.0321,0.4672,0,0.0321,0.4672,-,,0,11.048,0.014,-,11.048,0.014
153,03/10/2018,TI,1,858,3,105,1,5000,65,1,60.5,,,,,,0.361101502,284.9606707,#DIV/0!,97%,100%,1516.5,1291.5,14.80%,,0.0183,0.3365,0,0.0183,0.3365,-,,0,11.048,0.014,-,11.048,0.014
154,03/10/2018,TI,1,858,4,140,2,5000,65,1,57.5,,,,,,0.34616308,273.1721222,#DIV/0!,95%,100%,1503.5,1245.5,17.20%,,0.0321,0.5285,0,0.0321,0.5285,-,,0,11.048,0.014,-,11.048,0.014
155,03/10/2018,TI,1,858,5,110,1,5000,65,1,57.5,,,,,,0.346278238,273.2629978,#DIV/0!,95%,100%,1503,1275,15.20%,,0.0358,0.5016,0,0.0358,0.5016,-,,0,11.048,0.014,-,11.048,0.014
156,03/10/2018,TI,1,858,6,140,2,5000,65,1,40.5,,,,,,0.649968416,512.9179331,#DIV/0!,96%,100%,564,479,15.10%,,0.0259,0.393,0,0.0259,0.393,-,,0,11.048,0.014,-,11.048,0.014
157,04/10/2018,TI,1,860,1,110,1,5000,65,1,57,,,,,6.961849067,0.315225221,,85%,94%,#DIV/0!,1624.5,1349,17.00%,,0.075,0.6784,0,0.075,0.6784,-,,0.504,11.131,0,0.504,11.131,-
158,05/10/2018,TI,1,860,4,110,2,5000,65,1,50,,,,,6.462954346,0.292635791,,88%,94%,#DIV/0!,1535,1293,15.80%,,0.0611,0.7092,0,0.0611,0.7092,-,,0.504,11.131,0,0.504,11.131,-
160,10/10/2018,SB,,543,1,180,1,5000,65,1,81,,,,,0.380180309,140.1529571,36.51872825,83%,100%,0%,1562,1307,16.30%,,2.31,0,0.1424,2.31,-,0.1424,,13.64,0.037,0.142,13.64,0.037,0.142
161,11/10/2018,SB,,543,4,150,2,5000,65,1,70,,,,,0.343505007,126.6326568,32.9958331,86%,100%,18%,1494,1281.5,14.20%,,1.929,0,0.1159,1.929,-,0.1159,,13.64,0.037,0.142,13.64,0.037,0.142
163,11/10/2018,SB,,543,6,105,1,5000,65,1,65,,,,,0.50162062,184.9217639,48.18383988,83%,100%,-6%,950,826,13.10%,,2.337,0,0.1502,2.337,-,0.1502,,13.64,0.037,0.142,13.64,0.037,0.142
164,15/10/2018,N2,1,473,1,90,1,5000,65,1,52,,,,,8.277144258,0.272397748,120.3369434,97%,89%,45%,1662,1367,17.70%,,0.0122,1.2766,0.0144,0.0122,1.2766,0.0144,,0.378,11.486,0.026,0.378,11.486,0.026
165,15/10/2018,N2,1,473,2,120,2,5000,65,1,52,,,,,8.277144258,0.272397748,120.3369434,86%,93%,46%,1662,1351.5,18.70%,,0.054,0.81,0.014,0.054,0.81,0.014,,0.378,11.486,0.026,0.378,11.486,0.026
168,17/10/2018,BW,1,891,1,150,1,5000,65,1,105.5,,,,,0.889133857,0.553404883,219.5172701,86%,94%,77%,1780,1355.5,23.80%,,0.9067,0.656,0.0061,0.9067,0.656,0.0061,,6.666,10.71,0.027,6.666,10.71,0.027
169,18/10/2018,BW,1,891,3,130,1,5000,65,1,69,,,,,0.616133042,0.383486728,152.1164021,84%,94%,74%,1680,1304,22.40%,,1.0966,0.6786,0.0071,1.0966,0.6786,0.0071,,6.666,10.71,0.027,6.666,10.71,0.027
170,18/10/2018,BW,1,891,4,130,1,5000,65,1,60,,,,,0.489445356,0.304635177,120.83862,76%,89%,59%,1839,1456,20.80%,,1.6236,1.1599,0.0112,1.6236,1.1599,0.0112,,6.666,10.71,0.027,6.666,10.71,0.027
171,18/10/2018,BW,1,891,6,110,1,5000,65,1,55,,,,,0.489953984,0.304951751,120.9641946,72%,87%,100%,1684,1351.5,19.70%,,1.8408,1.4285,0,1.8408,1.4285,-,,6.666,10.71,0.027,6.666,10.71,0.027
173,19/10/2018,BW,1,891,8,110,1,5000,65,1,55,,,,,0.49554505,0.308431681,122.3445668,84%,94%,73%,1665,1289.5,22.60%,,1.0664,0.6762,0.0072,1.0664,0.6762,0.0072,,6.666,10.71,0.027,6.666,10.71,0.027
174,22/10/2018,SK ,,897,1,130,2,5000,65,1,65,,,,,0.316875132,1132.059041,33.57802241,89%,100%,83%,1640.5,1324,19.30%,,1.3556,0,0.0195,1.3556,-,0.0195,,12.504,0.0035,0.118,12.504,0.0035,0.118
175,23/10/2018,SK ,,897,2,130,1,5000,65,1,75,,,,,0.367867563,1314.233145,38.98149159,89%,100%,83%,1630.5,1323,18.90%,,1.3484,0,0.0195,1.3484,-,0.0195,,12.504,0.0035,0.118,12.504,0.0035,0.118
177,24/10/2018,N2,1,472,1,130,1,5000,65,1,56.5,,,,,9.613813945,0.385726508,114.1252752,87%,93%,63%,1597,1325.5,17.00%,,0.0476,0.6172,0.0116,0.0476,0.6172,0.0116,,0.368,9.172,0.031,0.368,9.172,0.031
178,25/10/2018,N2,1,472,2,140,2,5000,65,1,50,,,,,8.513130653,0.341564771,101.0590994,85%,93%,54%,1596,1335,16.40%,,0.0568,0.6416,0.0144,0.0568,0.6416,0.0144,,0.368,9.172,0.031,0.368,9.172,0.031
179,26/10/2018,N2,1,472,3,150,2,5000,65,1,55,,,,,8.976367672,0.360150818,106.5581711,83%,91%,50%,1665,1409.5,15.30%,,0.0621,0.8254,0.0156,0.0621,0.8254,0.0156,,0.368,9.172,0.031,0.368,9.172,0.031
180,26/10/2018,N2 ,1,472,4,120,2,5000,65,1,55,,,,,9.104874916,0.3653068,108.0836764,89%,95%,59%,1641.5,1378,16.10%,,0.0404,0.5039,0.0126,0.0404,0.5039,0.0126,,0.368,9.172,0.031,0.368,9.172,0.031
181,26/10/2018,N2,1,472,5,150,1,5000,65,1,60,,,,,10.71596965,0.429947321,127.2089301,79%,89%,49%,1521.5,1317,13.40%,,0.0766,1.0082,0.0157,0.0766,1.0082,0.0157,,0.368,9.172,0.031,0.368,9.172,0.031
182,29/10/2018,BW,1,900,1,110,1,5000,65,1,75,,,,1 pump,0.652311806,0.397734757,1092.036867,85%,94%,-123%,1761,1372.5,22.10%,,0.9704,0.6055,0.0087,0.9704,0.6055,0.0087,,6.529,10.708,0.0039,6.529,10.708,0.0039
183,29/10/2018,BW,1,900,7,250,1,5000,65,1,83,,,,1PUMP,0.715391863,0.436196626,1197.639352,92%,96%,10%,1777,1394.5,21.50%,,0.495,0.3887,0.0035,0.495,0.3887,0.0035,,6.529,10.708,0.0039,6.529,10.708,0.0039
184,06/11/2018,HB,,854,1,185,1,4300,65,1,75,,,,1PUMP,0.481399865,138.7501388,12.21272615,79%,78%,73%,1501.5,1335,11.10%,,2.1458,0.0078,0.1114,2.1458,0.0078,0.1114,,10.376,0.036,0.409,10.376,0.036,0.409
185,06/11/2018,HB,,854,4,210,2,4300,65,1,83.5,,,,1PUMP,0.535245568,154.2696671,13.5787482,80%,100%,73%,1503.5,1308,13.00%,,2.0686,0,0.1121,2.0686,-,0.1121,,10.376,0.036,0.409,10.376,0.036,0.409
187,08/11/2018,HB,,854,7,180,1,5000,65,1,90,,,,1PUMP,0.62536862,180.2451334,15.86509731,92%,100%,88%,1387,1157,16.60%,,0.8664,0,0.051,0.8664,-,0.051,,10.376,0.036,0.409,10.376,0.036,0.409
189,12/11/2018,BW,1,911,1,130,1,5000,65,1,65,,,,2pump,0.684635721,0.431970036,131.8993506,94%,98%,100%,1540,1221.5,20.70%,,0.3749,0.2264,0,0.3749,0.2264,-,,6.165,9.771,0.032,6.165,9.771,0.032
190,13/11/2018,BW,1,911,4,105,1,5000,65,1,60,,,,,0.656926095,0.414486683,126.560918,97%,99%,100%,1481.5,1170,21.00%,,0.1766,0.1323,0,0.1766,0.1323,-,,6.165,9.771,0.032,6.165,9.771,0.032
191,13/11/2018,BW,1,911,5,130,2,5000,65,1,59,,,,,0.719019842,0.453664653,138.5236664,96%,98%,100%,1331,1048,21.30%,,0.2367,0.1996,0,0.2367,0.1996,-,,6.165,9.771,0.032,6.165,9.771,0.032
192,13/11/2018,BW,1,911,6,120,1,5000,65,1,55,,,,,0.587702904,0.370810399,113.2246377,92%,96%,100%,1518,1189,21.70%,,0.5014,0.3486,0,0.5014,0.3486,-,,6.165,9.771,0.032,6.165,9.771,0.032
193,14/11/2018,BW,1,911,9,95,1,5000,65,1,55,,,,,0.544647747,0.343644802,104.9297924,96%,98%,66%,1638,1302,20.50%,,0.2655,0.2366,0.011,0.2655,0.2366,0.011,,6.165,9.771,0.032,6.165,9.771,0.032
194,14/11/2018,BW,1,911,10,100,2,5000,65,1,55,,,,,0.550020351,0.347034639,105.9648582,96%,98%,89%,1622,1285.5,20.70%,,0.2724,0.2317,0.0034,0.2724,0.2317,0.0034,,6.165,9.771,0.032,6.165,9.771,0.032
195,14/11/2018,BW,1,911,11,100,1,5000,65,1,50.5,,,,,0.670053422,0.422769353,129.0899796,97%,98%,100%,1222.5,950.5,22.20%,,0.1566,0.1746,0,0.1566,0.1746,-,,6.165,9.771,0.032,6.165,9.771,0.032
196,16/11/2018,BW,1,920,1,90,1,5000,65,1,55,,,,,0.672861972,0.396688359,127.5421469,95%,97%,79%,1487,1171.5,21.20%,,0.2668,0.2468,0.0062,0.2668,0.2468,0.0062,,5.497,9.324,0.029,5.497,9.324,0.029
197,16/11/2018,BW,1,920,2,125,2,5000,65,1,55,,,,,0.67925713,0.400458649,128.7543601,98%,99%,79%,1473,1133.5,23.00%,,0.1125,0.1353,0.0061,0.1125,0.1353,0.0061,,5.497,9.324,0.029,5.497,9.324,0.029
198,16/11/2018,BW,1,920,3,230,1,5000,65,1,55,,,,,0.645721686,0.380687699,122.3976589,98%,99%,79%,1549.5,1180,23.80%,,0.1316,0.0825,0.0062,0.1316,0.0825,0.0062,,5.497,9.324,0.029,5.497,9.324,0.029
199,19/11/2018,BW,1,920,4,90,2,5000,65,1,55,,,,,0.6383067,0.376316166,120.9921355,97%,98%,81%,1567.5,1232,21.40%,,0.178,0.172,0.0056,0.178,0.172,0.0056,,5.497,9.324,0.029,5.497,9.324,0.029
200,19/11/2018,BW,1,920,5,100,1,5000,65,1,55,,,,,0.678796304,0.400186967,128.6670098,94%,97%,87%,1474,1152,21.80%,,0.3475,0.296,0.0037,0.3475,0.296,0.0037,,5.497,9.324,0.029,5.497,9.324,0.029
201,19/11/2018,BW,1,920,6,120,2,5000,65,1,55,,,,,0.637087394,0.375597319,120.761014,98%,99%,76%,1570.5,1209.5,23.00%,,0.0845,0.1036,0.0069,0.0845,0.1036,0.0069,,5.497,9.324,0.029,5.497,9.324,0.029
202,19/11/2018,BW,1,920,7,140,1,5000,65,1,55,,,,,0.641992783,0.37848931,121.6908389,99%,99%,80%,1558.5,1199.5,23.00%,,0.0597,0.0636,0.0057,0.0597,0.0636,0.0057,,5.497,9.324,0.029,5.497,9.324,0.029
203,20/11/2018,SK ,,899,1,140,1,5000,65,1,80.5,,,,,0.53516736,224.7191011,55.57569168,98%,100%,95%,1557.5,1371,12.00%,,0.1809,0,0.0043,0.1809,-,0.0043,,9.658,0.023,0.093,9.6578,0.023,0.093
204,21/11/2018,SK ,,899,2,140,2,5000,65,1,72,,,,,0.47958276,201.378886,49.8033804,98%,100%,94%,1554.5,1317.5,15.20%,,0.1615,0,0.0054,0.1615,-,0.0054,,9.658,0.023,0.093,9.6578,0.023,0.093
205,22/11/2018,SK ,,899,3,160,1,5000,65,1,65,,,,,0.432817444,181.7419265,44.94692805,99%,100%,93%,1555,1321,15.00%,,0.1324,0,0.0062,0.1324,-,0.0062,,9.658,0.023,0.093,9.6578,0.023,0.093
206,23/11/2018,SK ,,899,5,140,1,5000,65,1,88,,,,,0.579631425,243.3897555,60.19316534,97%,100%,95%,1572,1359,13.50%,,0.3351,0,0.0046,0.3351,-,0.0046,,9.658,0.023,0.093,9.6578,0.023,0.093
207,23/11/2018,SK ,,899,6,140,2,5000,65,1,81,,,,,0.621950556,261.1597427,64.58789336,99%,100%,95%,1348.5,1149,14.80%,,0.1314,0,0.0042,0.1314,-,0.0042,,9.658,0.023,0.093,9.6578,0.023,0.093
208,26/11/2018,NL,,903,1,145,1,5000,65,1,82,,,,,0.640656502,241.4249963,23.85622493,98%,100%,95%,1358.6,1155,15.00%,,0.1993,0,0.0135,0.1993,-,0.0135,,9.421,0.025,0.253,9.421,0.025,0.253
209,27/11/2018,NL,,903,2,180,2,5000,65,1,69,,,,,0.547388884,206.2780269,20.38320424,99%,100%,97%,1338,1146,14.30%,,0.075,0,0.0079,0.075,-,0.0079,,9.421,0.025,0.253,9.421,0.025,0.253
210,28/11/2018,NL,,903,5,110,1,5000,65,1,65,,,,,0.539865406,203.4428795,20.10305133,99%,100%,98%,1278,1104,13.60%,,0.0874,0,0.0055,0.0874,-,0.0055,,9.421,0.025,0.253,9.421,0.025,0.253
211,28/11/2018,NL,,903,6,110,2,5000,65,1,63.5,,,,,0.577077151,217.4657534,21.48871081,98%,88%,96%,1168,1003.5,14.10%,,0.1609,0.003,0.0112,0.1609,0.003,0.0112,,9.421,0.025,0.253,9.421,0.025,0.253
212,28/11/2018,NL,,903,7,110,1,5000,65,1,60,,,,,0.551168383,207.7022934,20.52394203,99%,100%,98%,1155.5,992,14.10%,,0.0623,0,0.0038,0.0623,-,0.0038,,9.421,0.025,0.253,9.421,0.025,0.253
